order_id,customer_id,restaurant_id,order_amount,order_timestamp,delivery_time_minutes,customer_rating_food
71368dae-657d-4078-9887-42857fb9e79a,2369,2393,910.49,2025-07-20 17:58:27,25,2.7
b20e8adc-281a-4f13-90b0-03ab276b44e7,5988,2431,770.02,2024-11-29 23:20:13,41,3.1
d58bd33e-01d5-409e-b4d4-022722a18226,1859,2200,746.33,2025-02-25 06:42:12,27,2.3
8d1c5cff-8cbb-45b4-b5ee-ba5b58f0335a,4391,2075,620.4,2025-03-01 10:01:44,37,3.3
1b2b548a-78af-4138-9f97-82fa050a0734,2824,2066,888.72,2025-09-03 17:31:31,29,2.2
9471e560-8ecf-4019-ab8e-630543dbcc2f,2770,2049,605.46,2025-09-06 11:12:50,54,2.9
a8f2bb36-d333-42e5-aed4-339e4dbbad5b,2884,2468,710.96,2024-12-18 10:40:58,27,2.7
f7fe2c69-fefb-452f-be77-373b00b47d3d,5352,2085,158.6,2025-10-03 18:36:11,28,1.5
374ed49a-87c2-40f6-85da-8cd5b4e2002f,2713,2149,875.18,2025-02-21 23:31:36,25,4.5
bbca04bf-0a67-4be1-afe0-fa154e33cfd3,5124,2230,700.04,2024-11-21 07:29:44,23,1.3
e00b96f6-438a-43bd-a98f-2c498a397254,2298,2420,555.05,2024-10-17 02:15:17,19,3.1
0188b68e-1db7-431b-a0b6-b2c5760aa850,5851,2063,712.47,2025-05-03 06:40:22,57,4.7
830e52a8-d997-459b-8e8f-472e98e032b2,1145,2314,476.87,2025-04-09 15:30:48,53,1.4
5eed3e5a-ad4a-4518-89f1-77e0fc0fc034,3275,2462,660.84,2024-11-28 06:15:21,46,2.1
4f50aed1-a222-4c32-8c29-5f46c9d04373,3851,2058,301.18,2024-12-30 00:56:05,42,4.7
a82958ea-5d5c-4769-8fc5-2d9a8e824b87,5372,2291,719.32,2025-02-27 14:51:36,59,2.3
f86d169a-87b7-47b4-b3ac-bbb279eb5945,4897,2089,397.48,2025-03-04 10:53:38,21,3.3
4b747d50-664b-4f40-9312-74987a2637fd,3695,2348,1122.47,2025-06-22 16:16:32,34,3.0
d40d14c2-ed7c-4efb-93ce-e49d1be1709a,3277,2085,1031.66,2025-08-14 02:29:30,15,1.6
9fc78b8d-97de-430f-abb1-1220a15f7b26,4171,2142,567.07,2024-11-29 11:02:56,31,4.8
57f734e7-08b6-4e3c-aea6-7ae2de97b724,4591,2422,469.65,2025-09-23 23:30:34,25,2.0
5f33e867-9a32-48eb-b29b-a75e19956359,5432,2452,903.73,2025-09-21 17:07:09,49,2.6
4ae7b0e1-d662-480d-9552-fbc4a9914054,2758,2057,822.59,2024-12-10 06:40:15,34,2.8
714504b2-e7ba-4b6f-b2ff-69cf1fcacf5c,1698,2352,794.67,2025-05-26 22:50:14,36,4.1
5e9880bc-b511-433f-878b-d9dbcb05fd14,3007,2125,760.22,2025-06-25 22:41:15,58,3.6
747abe3c-5765-4951-83e9-8344c7290d8a,4308,2293,515.18,2025-06-10 22:36:12,60,3.5
ef0620ce-2276-43b2-bbea-0369896c0452,1122,2383,615.03,2025-07-19 18:11:43,34,3.8
d9d4bae0-8b35-4d8d-9b1f-30ef112ecedb,5470,2278,194.24,2024-10-15 23:56:00,54,2.7
5aec7f97-0378-45e6-b289-bbc4e89ea99e,3283,2474,1077.96,2024-10-19 04:23:49,39,4.6
1e35974b-c0b6-4ad4-8d1e-1bbb36261c85,4001,2015,1056.71,2025-03-26 23:44:20,15,1.9
0287afef-2b06-4c4a-9aff-bb7a96cb639b,3906,2425,401.64,2025-02-24 19:11:28,56,4.4
ff7d48a0-e311-4292-ae14-eedd48f0ed9f,1870,2161,489.54,2025-01-04 08:16:40,49,1.8
a1e3a32d-4709-45e9-95ef-4824306ef2c9,5652,2341,577.9,2025-05-23 04:57:10,22,4.3
ede4fd48-7c83-43f6-91fa-93244252090b,2504,2472,596.13,2025-05-30 01:31:37,41,1.3
219aa8b6-5abb-4022-949f-51d2cec29d0a,4381,2095,315.28,2024-11-19 03:22:47,28,4.7
f07ebaf0-9eb3-4852-8205-fe7f8a7ed55f,1799,2335,1088.71,2024-11-08 11:26:37,19,1.7
21f665ef-0e53-4025-aec1-876a481900f6,3252,2308,388.48,2024-12-12 02:56:56,39,1.7
5275936c-b0f3-44be-aeb3-70698722b0f0,3139,2423,882.17,2025-09-23 12:51:29,39,4.2
e33393d0-d6ba-41db-bca0-92b6042ea6b3,2963,2483,564.19,2025-02-26 01:55:45,20,3.1
ad5a4d2e-190f-4754-bb43-4aa58a71e60f,2052,2357,605.47,2025-06-12 21:09:15,31,3.3
84040245-1f92-4493-802a-55fcbb2bcc3f,1461,2380,862.65,2025-02-22 19:19:58,37,2.4
566ae8b4-3746-4d21-a970-67d3b66707c9,5773,2046,714.35,2025-01-26 15:07:51,48,3.0
adfee10e-ba08-46f9-aee2-90702862bdd8,5425,2274,300.13,2025-04-11 05:38:29,33,3.2
e54dc44b-f11c-47f2-839b-d0cc9cef11ab,2989,2337,327.95,2024-11-25 22:47:26,51,1.9
5cdc473f-3e4d-4855-a4ff-ce89b85899d2,4364,2200,1073.13,2024-11-27 23:04:26,52,3.8
19b6693f-fc5a-48a5-ac21-7555a9d2fdb6,5028,2172,769.77,2025-08-31 16:12:43,56,4.8
81f2a467-a6c9-43e4-8045-d533b3f6ca81,3145,2062,422.68,2025-07-06 20:20:03,59,1.2
