order_id,order_timestamp,order_date,order_amount,delivery_time_minutes,customer_rating_food,customer_id,city,signup_date,restaurant_id,restaurant_name,cuisine,zone
b25ecfe1-188e-4132-86bf-f8eba363c94c,2024-10-14 15:24:17,2024-10-14,1031.85,34,1.6,4577,Delhi,2024-05-18,2243,Ahluwalia-Kale Foods,Chinese,Whitefield
89d9b072-bde8-411a-92fa-63689a4bd93c,2025-05-30 20:56:37,2025-05-30,800.24,39,1.1,4345,Chennai,2023-12-20,2021,Varughese-Raman Foods,Pizza,Jayanagar
06759db0-281a-4a1b-a3e0-43bb0768b8c3,2025-08-05 02:04:34,2025-08-05,952.75,39,1.1,4543,Mumbai,2025-01-01,2440,"Singh, Mani and Karan Foods",South Indian,Koramangala
b6ce4829-af1a-4b23-af61-bcad8ae0c079,2025-08-16 17:26:10,2025-08-16,611.85,46,3.5,3305,Chennai,2025-01-27,2257,Arora-Prashad Foods,South Indian,Whitefield
fb664fdb-fdb1-4a2c-a89c-39193a717157,2025-07-29 16:53:33,2025-07-29,655.80,39,4.0,1045,Mumbai,2023-12-13,2202,Ramesh PLC Foods,North Indian,Koramangala
416fd6fa-da1f-454a-a8eb-ca383bff128f,2025-03-08 23:54:16,2025-03-08,358.61,40,3.7,5963,Chennai,2025-01-27,2094,Bal Ltd Foods,Pizza,Indiranagar
c0a00cb1-90ce-4525-bb2f-be8afc00d439,2024-11-09 08:21:22,2024-11-09,531.54,37,4.1,2654,Mumbai,2025-07-11,2084,Gara Ltd Foods,Pizza,Koramangala
07035f30-66fc-457d-a4bc-6d21429130bb,2025-03-20 16:07:29,2025-03-20,1165.44,19,3.5,4203,Delhi,2024-12-20,2287,"Nori, Barman and Bajwa Foods",Biryani,Koramangala
499bc77a-f3dd-4920-ada6-2793d12e509e,2025-03-18 15:02:51,2025-03-18,818.62,33,1.2,4355,Chennai,2024-11-19,2090,Mand and Sons Foods,Cafe,Koramangala
4faf6052-2638-47fa-a28a-4ebbc29eea3b,2025-05-19 07:58:41,2025-05-19,760.22,15,4.2,2181,Bengaluru,2024-05-06,2472,Behl Ltd Foods,Cafe,HSR Layout
3d07703c-754f-4bcc-ad77-9ca8e9787a31,2025-05-19 23:07:28,2025-05-19,414.04,56,1.1,2476,Delhi,2024-02-01,2058,Chana-Srinivasan Foods,South Indian,Whitefield
642c141c-f585-414e-b28f-bb461136c1bd,2025-01-18 15:01:19,2025-01-18,1147.95,40,1.4,3478,Chennai,2025-02-20,2496,Parekh-Sethi Foods,North Indian,Koramangala
e880a5a0-e61b-45d1-a28a-c7b7346907a3,2025-09-14 16:54:33,2025-09-14,1016.49,49,4.7,3501,Delhi,2025-04-05,2457,Toor Group Foods,Cafe,Indiranagar
54c57488-43d5-430e-8e6d-00856334d49f,2025-01-18 21:55:11,2025-01-18,1100.44,60,4.7,5602,Mumbai,2024-04-01,2401,"Baria, Dhaliwal and Apte Foods",North Indian,HSR Layout
416a8ea4-518f-4cff-85ad-c68ae2d71c2e,2024-10-06 17:45:18,2024-10-06,687.24,39,3.5,2248,Chennai,2023-10-27,2387,Contractor Inc Foods,Biryani,Koramangala
40dfd715-8dee-4524-9f4a-c01c7216acc0,2025-09-09 03:09:35,2025-09-09,404.27,41,2.3,1265,Chennai,2024-03-07,2478,"Mukhopadhyay, Thakkar and Chaudhari Foods",North Indian,Indiranagar
7df0d4a7-c885-4edd-ac8b-1c1da9111ec4,2025-04-07 15:58:06,2025-04-07,855.47,31,4.2,2491,Chennai,2024-11-15,2407,Modi Group Foods,South Indian,Jayanagar
8b887f24-b342-4523-86f0-6c8cc28e9ce0,2025-01-12 15:07:43,2025-01-12,451.68,46,3.5,2742,Delhi,2025-09-13,2234,"Pradhan, Garde and Issac Foods",Chinese,Jayanagar
01cca0ae-3baf-452b-aa35-e2244cebe572,2025-04-23 10:01:54,2025-04-23,854.82,57,3.7,5186,Delhi,2024-03-29,2486,Sule Group Foods,North Indian,Jayanagar
